ppds_cityid,ppds_name
24902a29-7ae2-f011-8543-000d3a3b9cba,Alleene
25902a29-7ae2-f011-8543-000d3a3b9cba,Muscle Shoals
26902a29-7ae2-f011-8543-000d3a3b9cba,Clio
27902a29-7ae2-f011-8543-000d3a3b9cba,Alma
28902a29-7ae2-f011-8543-000d3a3b9cba,Shannon
29902a29-7ae2-f011-8543-000d3a3b9cba,Clopton
2a902a29-7ae2-f011-8543-000d3a3b9cba,Myrtlewood
2b902a29-7ae2-f011-8543-000d3a3b9cba,Almyra
2c902a29-7ae2-f011-8543-000d3a3b9cba,Cloverdale
2d902a29-7ae2-f011-8543-000d3a3b9cba,Sheffield
2e902a29-7ae2-f011-8543-000d3a3b9cba,Alpena
2f902a29-7ae2-f011-8543-000d3a3b9cba,Coaling
30902a29-7ae2-f011-8543-000d3a3b9cba,Nanafalia
31902a29-7ae2-f011-8543-000d3a3b9cba,Alpine
32902a29-7ae2-f011-8543-000d3a3b9cba,Coden
33902a29-7ae2-f011-8543-000d3a3b9cba,Shelby
34902a29-7ae2-f011-8543-000d3a3b9cba,Natural Bridge
35902a29-7ae2-f011-8543-000d3a3b9cba,Altheimer
36902a29-7ae2-f011-8543-000d3a3b9cba,Coffee Springs
37902a29-7ae2-f011-8543-000d3a3b9cba,Altus
38902a29-7ae2-f011-8543-000d3a3b9cba,Shorter
39902a29-7ae2-f011-8543-000d3a3b9cba,Nauvoo
3a902a29-7ae2-f011-8543-000d3a3b9cba,Coffeeville
3b902a29-7ae2-f011-8543-000d3a3b9cba,Amagon
3c902a29-7ae2-f011-8543-000d3a3b9cba,Coker
3d902a29-7ae2-f011-8543-000d3a3b9cba,Shorterville
3e902a29-7ae2-f011-8543-000d3a3b9cba,Amity
3f902a29-7ae2-f011-8543-000d3a3b9cba,Needham
40902a29-7ae2-f011-8543-000d3a3b9cba,Collinsville
41902a29-7ae2-f011-8543-000d3a3b9cba,Columbia
42902a29-7ae2-f011-8543-000d3a3b9cba,Antoine
43902a29-7ae2-f011-8543-000d3a3b9cba,New Brockton
44902a29-7ae2-f011-8543-000d3a3b9cba,Columbiana
45902a29-7ae2-f011-8543-000d3a3b9cba,Silas
46902a29-7ae2-f011-8543-000d3a3b9cba,Arkadelphia
47902a29-7ae2-f011-8543-000d3a3b9cba,Cook Springs
48902a29-7ae2-f011-8543-000d3a3b9cba,New Castle
49902a29-7ae2-f011-8543-000d3a3b9cba,Arkansas City
4a902a29-7ae2-f011-8543-000d3a3b9cba,Coosada
4b902a29-7ae2-f011-8543-000d3a3b9cba,Siluria
4c902a29-7ae2-f011-8543-000d3a3b9cba,Armorel
4d902a29-7ae2-f011-8543-000d3a3b9cba,Cordova
4e902a29-7ae2-f011-8543-000d3a3b9cba,New Hope
4f902a29-7ae2-f011-8543-000d3a3b9cba,Ash Flat
50902a29-7ae2-f011-8543-000d3a3b9cba,Silverhill
51902a29-7ae2-f011-8543-000d3a3b9cba,Cottondale
52902a29-7ae2-f011-8543-000d3a3b9cba,Ashdown
53902a29-7ae2-f011-8543-000d3a3b9cba,Cottonton
54902a29-7ae2-f011-8543-000d3a3b9cba,New Market
55902a29-7ae2-f011-8543-000d3a3b9cba,Atkins
56902a29-7ae2-f011-8543-000d3a3b9cba,Sipsey
57902a29-7ae2-f011-8543-000d3a3b9cba,Cottonwood
58902a29-7ae2-f011-8543-000d3a3b9cba,Aubrey
59902a29-7ae2-f011-8543-000d3a3b9cba,Courtland
5a902a29-7ae2-f011-8543-000d3a3b9cba,Newbern
5b902a29-7ae2-f011-8543-000d3a3b9cba,Skipperville
5c902a29-7ae2-f011-8543-000d3a3b9cba,Augusta
5d902a29-7ae2-f011-8543-000d3a3b9cba,Cowarts
5e902a29-7ae2-f011-8543-000d3a3b9cba,Austin
5f902a29-7ae2-f011-8543-000d3a3b9cba,Newell
60902a29-7ae2-f011-8543-000d3a3b9cba,Coy
61902a29-7ae2-f011-8543-000d3a3b9cba,Slocomb
62902a29-7ae2-f011-8543-000d3a3b9cba,Avoca
63902a29-7ae2-f011-8543-000d3a3b9cba,Cragford
64902a29-7ae2-f011-8543-000d3a3b9cba,Newton
65902a29-7ae2-f011-8543-000d3a3b9cba,Bald Knob
66902a29-7ae2-f011-8543-000d3a3b9cba,Crane Hill
67902a29-7ae2-f011-8543-000d3a3b9cba,Smiths
68902a29-7ae2-f011-8543-000d3a3b9cba,Banks
69902a29-7ae2-f011-8543-000d3a3b9cba,Creola
6a902a29-7ae2-f011-8543-000d3a3b9cba,Newville
6b902a29-7ae2-f011-8543-000d3a3b9cba,Barling
6c902a29-7ae2-f011-8543-000d3a3b9cba,Snow Hill
6d902a29-7ae2-f011-8543-000d3a3b9cba,Cromwell
6e902a29-7ae2-f011-8543-000d3a3b9cba,Barton
6f902a29-7ae2-f011-8543-000d3a3b9cba,Cropwell
70902a29-7ae2-f011-8543-000d3a3b9cba,Normal
71902a29-7ae2-f011-8543-000d3a3b9cba,Somerville
72902a29-7ae2-f011-8543-000d3a3b9cba,Crossville
73902a29-7ae2-f011-8543-000d3a3b9cba,Bassett
74902a29-7ae2-f011-8543-000d3a3b9cba,Northport
75902a29-7ae2-f011-8543-000d3a3b9cba,Cuba
76902a29-7ae2-f011-8543-000d3a3b9cba,Spanish Fort
77902a29-7ae2-f011-8543-000d3a3b9cba,Cullman
78902a29-7ae2-f011-8543-000d3a3b9cba,Bates
79902a29-7ae2-f011-8543-000d3a3b9cba,Notasulga
7a902a29-7ae2-f011-8543-000d3a3b9cba,Cusseta
7b902a29-7ae2-f011-8543-000d3a3b9cba,Batesville
7c902a29-7ae2-f011-8543-000d3a3b9cba,Spring Garden
7d902a29-7ae2-f011-8543-000d3a3b9cba,Dadeville
7e902a29-7ae2-f011-8543-000d3a3b9cba,Bauxite
7f902a29-7ae2-f011-8543-000d3a3b9cba,Oak Hill
80902a29-7ae2-f011-8543-000d3a3b9cba,Springville
81902a29-7ae2-f011-8543-000d3a3b9cba,Daleville
82902a29-7ae2-f011-8543-000d3a3b9cba,Bay
83902a29-7ae2-f011-8543-000d3a3b9cba,Danville
84902a29-7ae2-f011-8543-000d3a3b9cba,Oakman
85902a29-7ae2-f011-8543-000d3a3b9cba,Bearden
86902a29-7ae2-f011-8543-000d3a3b9cba,Sprott
87902a29-7ae2-f011-8543-000d3a3b9cba,Daphne
88902a29-7ae2-f011-8543-000d3a3b9cba,Beaver
89902a29-7ae2-f011-8543-000d3a3b9cba,Odenville
8a902a29-7ae2-f011-8543-000d3a3b9cba,Dauphin Island
8b902a29-7ae2-f011-8543-000d3a3b9cba,Bee Branch
8c902a29-7ae2-f011-8543-000d3a3b9cba,Spruce Pine
8d902a29-7ae2-f011-8543-000d3a3b9cba,Daviston
8e902a29-7ae2-f011-8543-000d3a3b9cba,Beebe
8f902a29-7ae2-f011-8543-000d3a3b9cba,Ohatchee
90902a29-7ae2-f011-8543-000d3a3b9cba,Dawson
91902a29-7ae2-f011-8543-000d3a3b9cba,Beech Grove
92902a29-7ae2-f011-8543-000d3a3b9cba,Stanton
93902a29-7ae2-f011-8543-000d3a3b9cba,De Armanville
94902a29-7ae2-f011-8543-000d3a3b9cba,Beedeville
95902a29-7ae2-f011-8543-000d3a3b9cba,Oneonta
96902a29-7ae2-f011-8543-000d3a3b9cba,Stapleton
97902a29-7ae2-f011-8543-000d3a3b9cba,Beirne
98902a29-7ae2-f011-8543-000d3a3b9cba,Deatsville
99902a29-7ae2-f011-8543-000d3a3b9cba,Bella Vista
9a902a29-7ae2-f011-8543-000d3a3b9cba,Opelika
9b902a29-7ae2-f011-8543-000d3a3b9cba,Decatur
9c902a29-7ae2-f011-8543-000d3a3b9cba,Steele
9d902a29-7ae2-f011-8543-000d3a3b9cba,Belleville
9e902a29-7ae2-f011-8543-000d3a3b9cba,Deer Park
9f902a29-7ae2-f011-8543-000d3a3b9cba,Sterrett
a0902a29-7ae2-f011-8543-000d3a3b9cba,Opp
a1902a29-7ae2-f011-8543-000d3a3b9cba,Delmar
a2902a29-7ae2-f011-8543-000d3a3b9cba,Ben Lomond
a3902a29-7ae2-f011-8543-000d3a3b9cba,Delta
a4902a29-7ae2-f011-8543-000d3a3b9cba,Stevenson
a5902a29-7ae2-f011-8543-000d3a3b9cba,Orange Beach
a6902a29-7ae2-f011-8543-000d3a3b9cba,Demopolis
a7902a29-7ae2-f011-8543-000d3a3b9cba,Benton
a8902a29-7ae2-f011-8543-000d3a3b9cba,Detroit
a9902a29-7ae2-f011-8543-000d3a3b9cba,Bentonville
aa902a29-7ae2-f011-8543-000d3a3b9cba,Orrville
ab902a29-7ae2-f011-8543-000d3a3b9cba,Stockton
ac902a29-7ae2-f011-8543-000d3a3b9cba,Dickinson
ad902a29-7ae2-f011-8543-000d3a3b9cba,Bergman
ae902a29-7ae2-f011-8543-000d3a3b9cba,Sulligent
af902a29-7ae2-f011-8543-000d3a3b9cba,Owens Cross Roads
b0902a29-7ae2-f011-8543-000d3a3b9cba,Berryville
b1902a29-7ae2-f011-8543-000d3a3b9cba,Dixons Mills
b2902a29-7ae2-f011-8543-000d3a3b9cba,Bexar
b3902a29-7ae2-f011-8543-000d3a3b9cba,Sumiton
b4902a29-7ae2-f011-8543-000d3a3b9cba,Oxford
b5902a29-7ae2-f011-8543-000d3a3b9cba,Docena
b6902a29-7ae2-f011-8543-000d3a3b9cba,Big Flat
b7902a29-7ae2-f011-8543-000d3a3b9cba,Dolomite
b8902a29-7ae2-f011-8543-000d3a3b9cba,Summerdale
b9902a29-7ae2-f011-8543-000d3a3b9cba,Bigelow
ba902a29-7ae2-f011-8543-000d3a3b9cba,Ozark
bb902a29-7ae2-f011-8543-000d3a3b9cba,Dora
bc902a29-7ae2-f011-8543-000d3a3b9cba,Biggers
bd902a29-7ae2-f011-8543-000d3a3b9cba,Sunflower
be902a29-7ae2-f011-8543-000d3a3b9cba,Paint Rock
bf902a29-7ae2-f011-8543-000d3a3b9cba,Dothan
c0902a29-7ae2-f011-8543-000d3a3b9cba,Birdeye
c1902a29-7ae2-f011-8543-000d3a3b9cba,Double Springs
c2902a29-7ae2-f011-8543-000d3a3b9cba,Biscoe
c3902a29-7ae2-f011-8543-000d3a3b9cba,Sweet Water
c4902a29-7ae2-f011-8543-000d3a3b9cba,Palmerdale
c5902a29-7ae2-f011-8543-000d3a3b9cba,Douglas
